0xf00ec 么`˝
0xf00ed 么`ﾞ
0xf00ee 么`'
0xf00ef 么`"
0xe031 欠`
0xf00f0 欠`¯
0xf00f1 欠`´
0xf00f2 欠``
0xf00f3 欠`⁼
0xf00f4 欠`˝
0xf00f5 欠`ﾞ
0xf00f6 欠`'
0xf00f7 欠`"
0xe032 千`
0xf00f8 千`¯
0xf00f9 千`´
0xf00fa 千``
0xf00fb 千`⁼
0xf00fc 千`˝
0xf00fd 千`ﾞ
0xf00fe 千`'
0xf00ff 千`"
0xe033 丁`
0xf0100 丁`¯
0xf0101 丁`´
0xf0102 丁``
0xf0103 丁`⁼
0xf0104 丁`˝
0xf0105 丁`ﾞ
0xf0106 丁`'
0xf0107 丁`"
0xe034 頁`
0xf0108 頁`¯
0xf0109 頁`´
0xf010a 頁``
0xf010b 頁`⁼
0xf010c 頁`˝
0xf010d 頁`ﾞ
0xf010e 頁`'
0xf010f 頁`"
0xe035 必`
0xf0110 必`¯
0xf0111 必`´
0xf0112 必``
0xf0113 必`⁼
0xf0114 必`˝
0xf0115 必`ﾞ
0xf0116 必`'
0xf0117 必`"
0xe036 夕`
0xf0118 夕`¯
0xf0119 夕`´
0xf011a 夕``
0xf011b 夕`⁼
0xf011c 夕`˝
0xf011d 夕`ﾞ
0xf011e 夕`'
0xf011f 夕`"
0xe037 个`
0xf0120 个`¯
0xf0121 个`´
0xf0122 个``
0xf0123 个`⁼
0xf0124 个`˝
0xf0125 个`ﾞ
0xf0126 个`'
0xf0127 个`"
0xe038 丐`
0xf0128 丐`¯
0xf0129 丐`´
0xf012a 丐``
0xf012b 丐`⁼
0xf012c 丐`˝
0xf012d 丐`ﾞ
0xf012e 丐`'
0xf012f 丐`"
0xe039 冇`
0xf0130 冇`¯
0xf0131 冇`´
0xf0132 冇``
0xf0133 冇`⁼
0xf0134 冇`˝
0xf0135 冇`ﾞ
0xf0136 冇`'
0xf0137 冇`"
0xe03a 干`
0xf0138 干`¯
0xf0139 干`´
0xf013a 干``
0xf013b 干`⁼
0xf013c 干`˝
0xf013d 干`ﾞ
0xf013e 干`'
0xf013f 干`"
0xe03b 王`
0xf0140 王`¯
0xf0141 王`´
0xf0142 王``
0xf0143 王`⁼
0xf0144 王`˝
0xf0145 王`ﾞ
0xf0146 王`'
0xf0147 王`"
0xe03c 匃`
0xf0148 匃`¯
0xf0149 匃`´
0xf014a 匃``
0xf014b 匃`⁼
0xf014c 匃`˝
0xf014d 匃`ﾞ
0xf014e 匃`'
0xf014f 匃`"
0xe03d 乇`
0xf0150 乇`¯
0xf0151 乇`´
0xf0152 乇``
0xf0153 乇`⁼
0xf0154 乇`˝
0xf0155 乇`ﾞ
0xf0156 乇`'
0xf0157 乇`"
0xe03e 乎`
0xf0158 乎`¯
0xf0159 乎`´
0xf015a 乎``
0xf015b 乎`⁼
0xf015c 乎`˝
0xf015d 乎`ﾞ
0xf015e 乎`'
0xf015f 乎`"
0xe03f 会`
0xf0160 会`¯
0xf0161 会`´
0xf0162 会``
0xf0163 会`⁼
0xf0164 会`˝
0xf0165 会`ﾞ
0xf0166 会`'
0xf0167 会`"
0xe040 本`
0xf0168 本`¯
0xf0169 本`´
0xf016a 本``
0xf016b 本`⁼
0xf016c 本`˝
0xf016d 本`ﾞ
0xf016e 本`'
0xf016f 本`"
0xe041 工`
0xf0170 工`¯
0xf0171 工`´
0xf0172 工``
0xf0173 工`⁼
0xf0174 工`˝
0xf0175 工`ﾞ
0xf0176 工`'
0xf0177 工`"
0xe042 末`
0xf0178 末`¯
0xf0179 末`´
0xf017a 末``
0xf017b 末`⁼
0xf017c 末`˝
0xf017d 末`ﾞ
0xf017e 末`'
0xf017f 末`"
0xe043 玉`
0xf0180 玉`¯
0xf0181 玉`´
0xf0182 玉``
0xf0183 玉`⁼
0xf0184 玉`˝
0xf0185 玉`ﾞ
0xf0186 玉`'
0xf0187 玉`"
0xe044 居`
0xf0188 oe`¯
0xf0189 oe`´
0xf018a oe``
0xf018b oe`⁼
0xf018c oe`˝
0xf018d oe`ﾞ
0xf018e oe`'
0xf018f oe`"
0xe045 丈`
0xf0190 丈`¯
0xf0191 丈`´
0xf0192 丈``
0xf0193 丈`⁼
0xf0194 丈`˝
0xf0195 丈`ﾞ
0xf0196 丈`'
0xf0197 丈`"
0xe046 勺`
0xf0198 勺`¯
0xf0199 勺`´
0xf019a 勺``
0xf019b 勺`⁼
0xf019c 勺`˝
0xf019d 勺`ﾞ
0xf019e 勺`'
0xf019f 勺`"
0xe047 句`
0xf01a0 句`¯
0xf01a1 句`´
0xf01a2 句``
0xf01a3 句`⁼
0xf01a4 句`˝
0xf01a5 句`ﾞ
0xf01a6 句`'
0xf01a7 句`"
0xe048 卂`
0xf01a8 卂`¯
0xf01a9 卂`´
0xf01aa 卂``
0xf01ab 卂`⁼
0xf01ac 卂`˝
0xf01ad 卂`ﾞ
0xf01ae 卂`'
0xf01af 卂`"
0xe049 𥘅`
0xf01b0 𥘅`¯
0xf01b1 𥘅`´
0xf01b2 𥘅``
0xf01b3 𥘅`⁼
0xf01b4 𥘅`˝
0xf01b5 𥘅`ﾞ
0xf01b6 𥘅`'
0xf01b7 𥘅`"
0xe04a 仒`
0xf01b8 仒`¯
0xf01b9 仒`´
0xf01ba 仒``
0xf01bb 仒`⁼
0xf01bc 仒`˝
0xf01bd 仒`ﾞ
0xf01be 仒`'
0xf01bf 仒`"
0xe04b 元`
0xf01c0 元`¯
0xf01c1 元`´
0xf01c2 元``
0xf01c3 元`⁼
0xf01c4 元`˝
0xf01c5 元`ﾞ
0xf01c6 元`'
0xf01c7 元`"
0xe04c 乙`
0xf01c8 乙`¯
0xf01c9 乙`´
0xf01ca 乙``
0xf01cb 乙`⁼
0xf01cc 乙`˝
0xf01cd 乙`ﾞ
0xf01ce 乙`'
0xf01cf 乙`"
0xe04d 比乍
0xf01d0 比乍¯
0xf01d1 比乍´
0xf01d2 比乍`
0xf01d3 比乍⁼
0xf01d4 比乍˝
0xf01d5 比乍ﾞ
0xf01d6 比乍'
0xf01d7 比乍"
0xe04e 比介
0xf01d8 比介¯
0xf01d9 比介´
0xf01da 比介`
0xf01db 比介⁼
0xf01dc 比介˝
0xf01dd 比介ﾞ
0xf01de 比介'
0xf01df 比介"
0xe04f 比丂
0xf01e0 比丂¯
0xf01e1 比丂´
0xf01e2 比丂`
0xf01e3 比丂⁼
0xf01e4 比丂˝
0xf01e5 比丂ﾞ
0xf01e6 比丂'
0xf01e7 比丂"
0xe050 比彡
0xf01e8 比彡¯
0xf01e9 比彡´
0xf01ea 比彡`
0xf01eb 比彡⁼
0xf01ec 比彡˝
0xf01ed 比彡ﾞ
0xf01ee 比彡'
0xf01ef 比彡"
0xe051 比万
0xf01f0 比万¯
0xf01f1 比万´
0xf01f2 比万`
0xf01f3 比万⁼
0xf01f4 比万˝
0xf01f5 比万ﾞ
0xf01f6 比万'
0xf01f7 比万"
0xe052 比生
0xf01f8 比生¯
0xf01f9 比生´
0xf01fa 比生`
0xf01fb 比生⁼
0xf01fc 比生˝
0xf01fd 比生ﾞ
0xf01fe 比生'
0xf01ff 比生"
0xe053 比甲
0xf0200 比甲¯
0xf0201 比甲´
0xf0202 比甲`
0xf0203 比甲⁼
0xf0204 比甲˝
0xf0205 比甲ﾞ
0xf0206 比甲'
0xf0207 比甲"
0xe054 比压
0xf0208 比压¯
0xf0209 比压´
0xf020a 比压`
0xf020b 比压⁼
0xf020c 比压˝
0xf020d 比压ﾞ
0xf020e 比压'
0xf020f 比压"
0xe055 比百
0xf0210 比百¯
0xf0211 比百´
0xf0212 比百`
0xf0213 比百⁼
0xf0214 比百˝
0xf0215 比百ﾞ
0xf0216 比百'
0xf0217 比百"
0xe056 比兮
0xf0218 比兮¯
0xf0219 比兮´
0xf021a 比兮`
0xf021b 比兮⁼
0xf021c 比兮˝
0xf021d 比兮ﾞ
0xf021e 比兮'
0xf021f 比兮"
0xe057 比久
0xf0220 比久¯
0xf0221 比久´
0xf0222 比久`
0xf0223 比久⁼
0xf0224 比久˝
0xf0225 比久ﾞ
0xf0226 比久'
0xf0227 比久"
0xe058 比今
0xf0228 比今¯
0xf0229 比今´
0xf022a 比今`
0xf022b 比今⁼
0xf022c 比今˝
0xf022d 比今ﾞ
0xf022e 比今'
0xf022f 比今"
0xe059 比云
0xf0230 比云¯
0xf0231 比云´
0xf0232 比云`
0xf0233 比云⁼
0xf0234 比云˝
0xf0235 比云ﾞ
0xf0236 比云'
0xf0237 比云"
0xe05a 比亙
0xf0238 比亙¯
0xf0239 比亙´
0xf023a 比亙`
0xf023b 比亙⁼
0xf023c 比亙˝
0xf023d 比亙ﾞ
0xf023e 比亙'
0xf023f 比亙"
0xe05b 比十
0xf0240 比十¯
0xf0241 比十´
0xf0242 比十`
0xf0243 比十⁼
0xf0244 比十˝
0xf0245 比十ﾞ
0xf0246 比十'
0xf0247 比十"
0xe05c 比乜
0xf0248 比乜¯
0xf0249 比乜´
0xf024a 比乜`
0xf024b 比乜⁼
0xf024c 比乜˝
0xf024d 比乜ﾞ
0xf024e 比乜'
0xf024f 比乜"
0xe05d 比仄
0xf0250 比仄¯
0xf0251 比仄´
0xf0252 比仄`
0xf0253 比仄⁼
0xf0254 比仄˝
0xf0255 比仄ﾞ
0xf0256 比仄'
0xf0257 比仄"
0xe05e 比旡
0xf0258 比旡¯
0xf0259 比旡´
0xf025a 比旡`
0xf025b 比旡⁼
0xf025c 比旡˝
0xf025d 比旡ﾞ
0xf025e 比旡'
0xf025f 比旡"
0xe05f 比丌
0xf0260 比丌¯
0xf0261 比丌´
0xf0262 比丌`
0xf0263 比丌⁼
0xf0264 比丌˝
0xf0265 比丌ﾞ
0xf0266 比丌'
0xf0267 比丌"
0xe060 比了
0xf0268 比了¯
0xf0269 比了´
0xf026a 比了`
0xf026b 比了⁼
0xf026c 比了˝
0xf026d 比了ﾞ
0xf026e 比了'
0xf026f 比了"
0xe061 比壬
0xf0270 比壬¯
0xf0271 比壬´
0xf0272 比壬`
0xf0273 比壬⁼
0xf0274 比壬˝
0xf0275 比壬ﾞ
0xf0276 比壬'
0xf0277 比壬"
0xe062 比円
0xf0278 比円¯
0xf0279 比円´
0xf027a 比円`
0xf027b 比円⁼
0xf027c 比円˝
0xf027d 比円ﾞ
0xf027e 比円'
0xf027f 比円"
0xe063 比正
0xf0280 比正¯
0xf0281 比正´
0xf0282 比正`
0xf0283 比正⁼
0xf0284 比正˝
0xf0285 比正ﾞ
0xf0286 比正'
0xf0287 比正"
0xe064 比夾
0xf0288 比夾¯
0xf0289 比夾´
0xf028a 比夾`
0xf028b 比夾⁼
0xf028c 比夾˝
0xf028d 比夾ﾞ
0xf028e 比夾'
0xf028f 比夾"
0xe065 比叐
0xf0290 比叐¯
0xf0291 比叐´
0xf0292 比叐`
0xf0293 比叐⁼
0xf0294 比叐˝
0xf0295 比叐ﾞ
0xf0296 比叐'
0xf0297 比叐"
0xe066 比尺
0xf0298 比尺¯
0xf0299 比尺´
0xf029a 比尺`
0xf029b 比尺⁼
0xf029c 比尺˝
0xf029d 比尺ﾞ
0xf029e 比尺'
0xf029f 比尺"
0xe067 比子
0xf02a0 比子¯
0xf02a1 比子´
0xf02a2 比子`
0xf02a3 比子⁼
0xf02a4 比子˝
0xf02a5 比子ﾞ
0xf02a6 比子'
0xf02a7 比子"
0xe068 比么
0xf02a8 比么¯
0xf02a9 比么´
0xf02aa 比么`
0xf02ab 比么⁼
0xf02ac 比么˝
0xf02ad 比么ﾞ
0xf02ae 比么'
0xf02af 比么"
0xe069 比欠
0xf02b0 比欠¯
0xf02b1 比欠´
0xf02b2 比欠`
0xf02b3 比欠⁼
0xf02b4 比欠˝
0xf02b5 比欠ﾞ
0xf02b6 比欠'
0xf02b7 比欠"
0xe06a 比千
0xf02b8 比千¯
0xf02b9 比千´
0xf02ba 比千`
0xf02bb 比千⁼
0xf02bc 比千˝
0xf02bd 比千ﾞ
0xf02be 比千'
0xf02bf 比千"
0xe06b 比丁
0xf02c0 比丁¯
0xf02c1 比丁´
0xf02c2 比丁`
0xf02c3 比丁⁼
0xf02c4 比丁˝
0xf02c5 比丁ﾞ
0xf02c6 比丁'
0xf02c7 比丁"
0xe06c 比頁
0xf02c8 比頁¯
0xf02c9 比頁´
0xf02ca 比頁`
0xf02cb 比頁⁼
0xf02cc 比頁˝
0xf02cd 比頁ﾞ
0xf02ce 比頁'
0xf02cf 比頁"
0xe06d 比必
0xf02d0 比必¯
0xf02d1 比必´
0xf02d2 比必`
0xf02d3 比必⁼
0xf02d4 比必˝
0xf02d5 比必ﾞ
0xf02d6 比必'
0xf02d7 比必"
0xe06e 比夕
0xf02d8 比夕¯
0xf02d9 比夕´
0xf02da 比夕`
0xf02db 比夕⁼
0xf02dc 比夕˝
0xf02dd 比夕ﾞ
0xf02de 比夕'
0xf02df 比夕"
0xe06f 比个
0xf02e0 比个¯
0xf02e1 比个´
0xf02e2 比个`
0xf02e3 比个⁼
0xf02e4 比个˝
0xf02e5 比个ﾞ
0xf02e6 比个'
0xf02e7 比个"
0xe070 比丐
0xf02e8 比丐¯
0xf02e9 比丐´
0xf02ea 比丐`
0xf02eb 比丐⁼
0xf02ec 比丐˝
0xf02ed 比丐ﾞ
0xf02ee 比丐'
0xf02ef 比丐"
0xe071 比冇
0xf02f0 比冇¯
0xf02f1 比冇´
0xf02f2 比冇`
0xf02f3 比冇⁼
0xf02f4 比冇˝
0xf02f5 比冇ﾞ
0xf02f6 比冇'
0xf02f7 比冇"
0xe072 比干
0xf02f8 比干¯
0xf02f9 比干´
0xf02fa 比干`
0xf02fb 比干⁼
0xf02fc 比干˝
0xf02fd 比干ﾞ
0xf02fe 比干'
0xf02ff 比干"
0xe073 比王
0xf0300 比王¯
0xf0301 比王´
0xf0302 比王`
0xf0303 比王⁼
0xf0304 比王˝
0xf0305 比王ﾞ
0xf0306 比王'
0xf0307 比王"
0xe074 比匃
0xf0308 比匃¯
0xf0309 比匃´
0xf030a 比匃`
0xf030b 比匃⁼
0xf030c 比匃˝
0xf030d 比匃ﾞ
0xf030e 比匃'
0xf030f 比匃"
0xe075 比乇
0xf0310 比乇¯
0xf0311 比乇´
0xf0312 比乇`
0xf0313 比乇⁼
0xf0314 比乇˝
0xf0315 比乇ﾞ
0xf0316 比乇'
0xf0317 比乇"
0xe076 比乎
0xf0318 比乎¯
0xf0319 比乎´
0xf031a 比乎`
0xf031b 比乎⁼
0xf031c 比乎˝
0xf031d 比乎ﾞ
0xf031e 比乎'
0xf031f 比乎"
0xe077 比会
0xf0320 比会¯
0xf0321 比会´
0xf0322 比会`
0xf0323 比会⁼
0xf0324 比会˝
0xf0325 比会ﾞ
0xf0326 比会'
0xf0327 比会"
0xe078 比本
0xf0328 比本¯
0xf0329 比本´
0xf032a 比本`
0xf032b 比本⁼
0xf032c 比本˝
0xf032d 比本ﾞ
0xf032e 比本'
0xf032f 比本"
0xe079 比工
0xf0330 比工¯
0xf0331 比工´
0xf0332 比工`
0xf0333 比工⁼
0xf0334 比工˝
0xf0335 比工ﾞ
0xf0336 比工'
0xf0337 比工"
0xe07a 比末
0xf0338 比末¯
0xf0339 比末´
0xf033a 比末`
0xf033b 比末⁼
0xf033c 比末˝
0xf033d 比末ﾞ
0xf033e 比末'
0xf033f 比末"
0xe07b 比玉
0xf0340 比玉¯
0xf0341 比玉´
0xf0342 比玉`
0xf0343 比玉⁼
0xf0344 比玉˝
0xf0345 比玉ﾞ
0xf0346 比玉'
0xf0347 比玉"
0xe07c 比居
0xf0348 比oe¯
0xf0349 比oe´
0xf034a 比oe`
0xf034b 比oe⁼
0xf034c 比oe˝
0xf034d 比oeﾞ
0xf034e 比oe'
0xf034f 比oe"
0xe07d 比丈
0xf0350 比丈¯
0xf0351 比丈´
0xf0352 比丈`
0xf0353 比丈⁼
0xf0354 比丈˝
0xf0355 比丈ﾞ
0xf0356 比丈'
0xf0357 比丈"
0xe07e 比勺
0xf0358 比勺¯
0xf0359 比勺´
0xf035a 比勺`
0xf035b 比勺⁼
0xf035c 比勺˝
0xf035d 比勺ﾞ
0xf035e 比勺'
0xf035f 比勺"
0xe07f 比句
0xf0360 比句¯
0xf0361 比句´
0xf0362 比句`
0xf0363 比句⁼
0xf0364 比句˝
0xf0365 比句ﾞ
0xf0366 比句'
0xf0367 比句"
0xe080 比卂
0xf0368 比卂¯
0xf0369 比卂´
0xf036a 比卂`
0xf036b 比卂⁼
0xf036c 比卂˝
0xf036d 比卂ﾞ
0xf036e 比卂'
0xf036f 比卂"
0xe081 比𥘅
0xf0370 比𥘅¯
0xf0371 比𥘅´
0xf0372 比𥘅`
0xf0373 比𥘅⁼
0xf0374 比𥘅˝
0xf0375 比𥘅ﾞ
0xf0376 比𥘅'
0xf0377 比𥘅"
0xe082 比仒
0xf0378 比仒¯
0xf0379 比仒´
0xf037a 比仒`
0xf037b 比仒⁼
0xf037c 比仒˝
0xf037d 比仒ﾞ
0xf037e 比仒'
0xf037f 比仒"
0xe083 比元
0xf0380 比元¯
0xf0381 比元´
0xf0382 比元`
0xf0383 比元⁼
0xf0384 比元˝
0xf0385 比元ﾞ
0xf0386 比元'
0xf0387 比元"
0xe084 比乙
0xf0388 比乙¯
0xf0389 比乙´
0xf038a 比乙`
0xf038b 比乙⁼
0xf038c 比乙˝
0xf038d 比乙ﾞ
0xf038e 比乙'
0xf038f 比乙"
0xe085 并乍
0xf0390 并乍¯
0xf0391 并乍´
0xf0392 并乍`
0xf0393 并乍⁼
0xf0394 并乍˝
0xf0395 并乍ﾞ
0xf0396 并乍'
0xf0397 并乍"
0xe086 并介
0xf0398 并介¯
0xf0399 并介´
0xf039a 并介`
0xf039b 并介⁼
0xf039c 并介˝
0xf039d 并介ﾞ
0xf039e 并介'
0xf039f 并介"
0xe087 并丂
0xf03a0 并丂¯
0xf03a1 并丂´
0xf03a2 并丂`
0xf03a3 并丂⁼
0xf03a4 并丂˝
0xf03a5 并丂ﾞ
0xf03a6 并丂'
0xf03a7 并丂"
0xe088 并彡
0xf03a8 并彡¯
0xf03a9 并彡´
0xf03aa 并彡`
0xf03ab 并彡⁼
